run_id,val_bpb,improved,best_val_bpb,embedding_lr,unembedding_lr,matrix_lr,scalar_lr,weight_decay,adam_beta1,adam_beta2,warmup_ratio,warmdown_ratio,dropout
90,1.12609892,0,1.08623037,0.0848229548,0.0100666667,0.0704761905,0.8782051282,0.1683760684,0.9718339438,0.9220803419,0.0410989011,0.7837606838,0.0691575092
91,1.11242282,0,1.08623037,0.7220268620,0.0085666667,0.0705494505,0.1731868132,0.3294261294,0.6720097680,0.8543663004,0.1526739927,0.7429304029,0.3264468864
92,1.09322151,0,1.08623037,0.4518681319,0.0176571429,0.0716300366,0.2012576313,0.4131868132,0.6612454212,0.8760158730,0.0888644689,0.8898412698,0.0827350427
93,1.10860283,0,1.08623037,0.5173015873,0.0017285714,0.0317032967,0.4578388278,0.3069597070,0.6026910867,0.9294302808,0.2552380952,0.2465201465,0.0067399267
94,1.10874690,0,1.08623037,0.1825518926,0.0114666667,0.0603296703,0.9104517705,0.1792429792,0.8859047619,0.9534813187,0.0007326007,0.3064957265,0.2642246642
95,1.11921692,0,1.08623037,1.0868253968,0.0181333333,0.0730586081,0.1513797314,0.0741147741,0.7389157509,0.8688114774,0.1210256410,0.3399023199,0.3590720391
96,1.12694234,0,1.08623037,0.4153601954,0.0182000000,0.0298717949,0.7874969475,0.3925518926,0.8056361416,0.9796791209,0.0661538462,0.4985347985,0.3749938950
97,1.08687725,0,1.08623037,1.0056654457,0.0054809524,0.0709340659,0.4703663004,0.2478632479,0.7711159951,0.8566586081,0.1194871795,0.7693040293,0.0572405372
98,1.10713604,0,1.08623037,0.2575335775,0.0115095238,0.0655311355,0.8932844933,0.0846153846,0.9537387057,0.8630989011,0.0909890110,0.6323565324,0.0592918193
99,1.08839859,0,1.08623037,0.8559829060,0.0122523810,0.0534432234,0.4016971917,0.1229548230,0.8555604396,0.9383084249,0.0904029304,0.8607326007,0.0661294261
100,1.13898789,0,1.08623037,0.8481196581,0.0022904762,0.0152564103,0.8248473748,0.3780219780,0.8720781441,0.9326686203,0.2313553114,0.1298901099,0.3416849817
